type,target,field,order,title,label,text,image,href
gallery,month-4,,4,,,,/assets/hero.png,
gallery,month-4,,5,,,,/assets/hero.png,
gallery,month-4,,6,,,,/assets/hero.png,
gallery,month-4,,7,,,,/assets/hero.png,
gallery,month-4,,8,,,,/assets/hero.png,
feature,month-4,,1,草地放映,,在自然光里重新观看一段影像。,/assets/hero.png,
feature,month-4,,2,春日采集,,收集颜色、声音和路上的短句。,/assets/hero.png,
feature,month-4,,3,同行记录,,把同行者的步伐留在画面边缘。,/assets/hero.png,
month,month-3,month,,3月,,,,
month,month-3,title,,寻春,,,,
month,month-3,intro,,,,春天刚刚到来，一些柔软的细节先出现在镜头里。,,
month,month-3,heroImage,,,,,/assets/hero-month-3.jpg,
month,month-3,galleryTitle,,,,当月影展,,
month,month-3,reviewTitle,,,,3月寻春 · 精彩回顾,,
gallery,month-3,,1,,,,/assets/hero.png,
gallery,month-3,,2,,,,/assets/hero.png,
gallery,month-3,,3,,,,/assets/hero.png,
gallery,month-3,,4,,,,/assets/hero.png,
gallery,month-3,,5,,,,/assets/hero.png,
gallery,month-3,,6,,,,/assets/hero.png,
feature,month-3,,1,春光练习,,寻找变化最轻的时刻。,/assets/hero.png,
feature,month-3,,2,影像笔记,,从一张照片延伸出一段文字。,/assets/hero.png,
month,month-2,month,,2月,,,,
month,month-2,title,,年味,,,,
month,month-2,intro,,,,在热闹的团圆气息里，记录节日、家人和生活里的年味。,,
month,month-2,heroImage,,,,,/assets/hero-month-2.jpg,
month,month-2,galleryTitle,,,,当月影展,,
month,month-2,reviewTitle,,,,2月年味 · 精彩回顾,,
gallery,month-2,,1,,,,/assets/hero.png,
gallery,month-2,,2,,,,/assets/hero.png,
gallery,month-2,,3,,,,/assets/hero.png,
gallery,month-2,,4,,,,/assets/hero.png,
feature,month-2,,1,旧片整理,,给旧素材重新编号、命名与备注。,/assets/hero.png,
feature,month-2,,2,文字回看,,把零散笔记整理成可以继续生长的文章。,/assets/hero.png,
